戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"BB逆張り(期間20, 2.0σ)",BB逆張り,25,12,東京(9-15時),全曜日,なし,直近30分変動大,1889,2.3,31.9,-504.6,24.69,-11.97,0.967,-842.6,16,882,2.5,29.3,-1085.7,24.78,-11.98,0.855,-1406.3,14,0.884,29.0,不採用
"BBブレイク(期間14, 1.5σ)",BBブレイク,25,10,9時台,全曜日,上昇のみ,なし,480,1.2,31.9,394.3,23.95,-10.0,1.121,-271.9,11,204,1.3,26.0,-205.1,24.44,-9.94,0.863,-360.0,18,0.77,29.0,不採用
"RSI逆張り(期間7, 40/75)",RSI逆張り,4,10,全時間,月,なし,なし,2962,14.2,67.8,-1462.6,4.0,-9.94,0.846,-1633.2,6,1211,15.5,66.1,-869.9,4.0,-9.94,0.786,-961.2,7,0.929,29.0,不採用
"BB逆張り(期間30, 1.5σ)",BB逆張り,8,15,全時間,木,下降のみ,なし,936,5.6,65.2,9.6,7.98,-14.9,1.002,-459.3,6,402,6.3,60.0,-487.0,8.0,-15.0,0.798,-500.0,5,0.796,29.0,不採用
"EMAクロス(8,100)",EMAクロス,4,12,全時間,水,なし,直近30分変動大,488,2.9,71.5,-272.0,4.0,-12.0,0.837,-336.0,4,247,3.4,67.6,-292.0,4.0,-12.0,0.696,-292.0,4,0.832,29.0,不採用
"BBブレイク(期間30, 1.5σ)",BBブレイク,5,12,全時間,全曜日,レンジのみ,直近30分変動大,2393,2.8,65.4,-2031.9,5.0,-11.92,0.794,-2109.9,6,1124,3.1,64.3,-1171.3,5.0,-11.94,0.755,-1279.0,6,0.951,29.0,不採用
"BBブレイク(期間20, 2.5σ)",BBブレイク,20,10,全時間,全曜日,レンジのみ,直近30分変動大,1282,1.7,32.0,-736.1,19.37,-9.95,0.915,-1079.3,20,521,1.7,29.8,-590.3,19.69,-9.95,0.838,-626.7,20,0.916,29.0,不採用
"MACDクロス(12,35,9)",MACDクロス,30,20,東京(9-15時),全曜日,なし,ATR高,794,1.7,43.2,1108.4,29.03,-19.62,1.125,-550.0,11,334,1.7,37.1,-491.7,29.61,-19.82,0.882,-683.7,10,0.784,29.0,不採用
"BBブレイク(期間30, 2.0σ)",BBブレイク,25,20,全時間,全曜日,なし,ATR高,2787,3.0,46.3,1290.8,23.15,-19.06,1.045,-646.4,13,1029,2.9,41.8,-1454.5,23.73,-19.46,0.875,-1504.5,13,0.837,29.0,不採用
押し目(EMA200+RSI45/60),押し目,5,25,全時間,全曜日,なし,ATR高,1098,1.8,81.7,-188.4,5.0,-23.25,0.96,-512.0,3,391,1.8,78.8,-493.5,5.0,-24.5,0.757,-622.0,4,0.789,29.0,不採用
"RSI逆張り(期間14, 25/65)",RSI逆張り,10,10,NY(21-23時),全曜日,なし,なし,991,1.5,45.8,-798.4,9.74,-9.72,0.847,-798.4,12,331,1.5,44.1,-374.4,9.89,-9.83,0.794,-452.6,9,0.937,29.0,不採用
"BBブレイク(期間30, 2.0σ)",BBブレイク,6,25,全時間,全曜日,なし,ATR高,3725,4.0,77.9,-2172.7,5.98,-23.74,0.889,-2526.3,4,1328,3.8,75.9,-1798.2,5.99,-24.48,0.77,-1872.2,5,0.866,28.9,不採用
"EMAクロス(12,150)",EMAクロス,15,10,全時間,月,なし,なし,489,2.8,40.9,22.7,14.41,-9.89,1.008,-295.6,13,203,3.1,35.0,-250.7,14.8,-9.86,0.807,-391.6,7,0.801,28.9,不採用
"BBブレイク(期間20, 2.5σ)",BBブレイク,8,12,全時間,全曜日,なし,なし,6085,5.2,56.6,-3772.7,7.95,-11.79,0.879,-3846.7,11,2254,5.0,54.5,-2425.2,7.95,-11.87,0.801,-2477.2,8,0.911,28.9,不採用
"BBブレイク(期間20, 2.5σ)",BBブレイク,15,12,全時間,全曜日,上昇のみ,ATR低,826,1.5,41.5,-680.9,14.41,-11.64,0.879,-934.2,16,327,1.6,39.1,-462.5,14.48,-11.64,0.8,-525.5,8,0.91,28.9,不採用
"BB逆張り(期間14, 2.0σ)",BB逆張り,4,20,東京(9-15時),全曜日,なし,ATR低,1123,1.8,80.2,-767.4,4.0,-19.68,0.824,-775.4,5,376,1.8,78.2,-423.9,4.0,-19.51,0.735,-487.9,5,0.892,28.9,不採用
